,owner,repository_name,language,size,watchers_count,forks_count,visibility,forks,watchers
300,NVIDIA,spark-rapids-benchmarks,Python,4810,24,21,public,21,24
301,NVIDIA,spark-rapids-container,Shell,499,13,13,public,13,13
302,NVIDIA,spark-rapids-examples,Jupyter Notebook,9840,77,38,public,38,77
303,NVIDIA,spark-rapids-jni,Cuda,1315,19,42,public,42,19
304,NVIDIA,spark-rapids-ml,Jupyter Notebook,5233,38,23,public,23,38
305,NVIDIA,spark-rapids-tools,Scala,9254,25,25,public,25,25
306,NVIDIA,spark-xgboost,C++,21094,24,7,public,7,24
307,NVIDIA,spark-xgboost-examples,Jupyter Notebook,5340,52,24,public,24,52
308,NVIDIA,sparkucx,Scala,148,15,14,public,14,15
309,NVIDIA,speechsquad,C++,165,62,11,public,11,62
310,NVIDIA,stdexec,C++,9472,832,104,public,104,832
311,NVIDIA,swift,Python,72880,6,5,public,5,6
312,NVIDIA,swiftstack-collectd,C,26513,2,2,public,2,2
313,NVIDIA,swiftstack-collectd-plugin,Python,35,1,5,public,5,1
314,NVIDIA,tacotron2,Jupyter Notebook,2766,4635,1304,public,1304,4635
315,NVIDIA,tao_dataset_suite,Python,136,2,0,public,0,2
316,NVIDIA,tao_deploy,Python,524,6,0,public,0,6
317,NVIDIA,tao_front_end_services,Jupyter Notebook,2652,3,0,public,0,3
318,NVIDIA,tao_launcher,Python,35,3,0,public,0,3
319,NVIDIA,tao_pytorch_backend,Python,1031,40,5,public,5,40
320,NVIDIA,tao_tensorflow1_backend,Python,6385,7,0,public,0,7
321,NVIDIA,tao_tensorflow2_backend,Python,347,2,0,public,0,2
322,NVIDIA,tao_tutorials,Jupyter Notebook,2927,6,0,public,0,6
323,NVIDIA,tdl,JavaScript,4984,3,4,public,4,3
324,NVIDIA,tegra-nouveau-rootfs,,74,56,30,public,30,56
325,NVIDIA,tegra-pinmux-scripts,Python,148,28,17,public,17,28
326,NVIDIA,tegra-rootfs-scripts,Shell,88,11,12,public,12,11
327,NVIDIA,tegra-uboot-flasher-manifests,,119,2,12,public,12,2
328,NVIDIA,tegra-uboot-flasher-scripts,Python,56,29,29,public,29,29
329,NVIDIA,tegra-uboot-scripts,Python,8,10,8,public,8,10
330,NVIDIA,tegrarcm,C,6337,60,28,public,28,60
331,NVIDIA,tensorflow,C++,378037,748,108,public,108,748
332,NVIDIA,TensorRT,C++,103081,7849,1845,public,1845,7849
333,NVIDIA,tensorrt-laboratory,C++,6645,259,49,public,49,259
334,NVIDIA,three.js,JavaScript,256299,11,8,public,8,11
335,NVIDIA,thrust,C++,17790,4764,780,public,780,4764
336,NVIDIA,torch-android,CMake,46331,2,3,public,3,2
337,NVIDIA,torch-cudnn,Lua,745,5,4,public,4,5
338,NVIDIA,torch-cunn,Cuda,1273,3,3,public,3,3
339,NVIDIA,torch-cutorch,Cuda,1912,3,2,public,2,3
340,NVIDIA,torch-distro,CMake,82005,1,2,public,2,1
341,NVIDIA,torch-harmonics,Jupyter Notebook,4919,140,13,public,13,140
342,NVIDIA,torch-nccl,Lua,103,2,3,public,3,2
343,NVIDIA,TorchFort,C++,4960,125,14,public,14,125
344,NVIDIA,transformer-ls,Python,127,212,34,public,34,212
345,NVIDIA,TransformerEngine,Python,1680,936,120,public,120,936
346,NVIDIA,trt-samples-for-hackathon-cn,HTML,69462,1059,280,public,280,1059
347,NVIDIA,ubuntu-packaging-nvidia-driver,,1502,13,4,public,4,13
348,NVIDIA,ubuntu-packaging-nvidia-modprobe,,8,3,2,public,2,3
349,NVIDIA,ubuntu-packaging-nvidia-settings,,188,5,2,public,2,5
350,NVIDIA,unsupervised-video-interpolation,Python,1564,106,17,public,17,106
351,NVIDIA,UnsupervisedLandmarkLearning,Python,153,43,11,public,11,43
352,NVIDIA,url-polyfill,JavaScript,69,1,3,public,3,1
353,NVIDIA,vagrant-swift-all-in-one,Ruby,451,76,58,public,58,76
354,NVIDIA,vdisc,Go,306,23,5,public,5,23
355,NVIDIA,vdpau-hevc-example,C,73,27,14,public,14,27
356,NVIDIA,vdpau-win-x11,C,112,5,5,public,5,5
357,NVIDIA,vgpu-device-manager,Go,6466,43,9,public,9,43
358,NVIDIA,vid2vid,Python,172394,8347,1206,public,1206,8347
359,NVIDIA,video-sdk-samples,C++,26060,305,101,public,101,305
360,NVIDIA,VideoProcessingFramework,C++,2441,1163,210,public,210,1163
361,NVIDIA,VisRTX,C++,5786,217,24,public,24,217
362,NVIDIA,warp,HTML,36163,1348,107,public,107,1348
363,NVIDIA,waveglow,Python,437,2156,519,public,519,2156
364,NVIDIA,WebGL,C,17165,12,10,public,10,12
365,NVIDIA,webgl-path-tracing,,402,11,6,public,6,11
366,NVIDIA,winex_lgpl,C,10120,24,15,public,15,24
367,NVIDIA,yum-packaging-dkms-nvidia,Shell,107,5,6,public,6,5
368,NVIDIA,yum-packaging-fabric-manager,,11,7,3,public,3,7
369,NVIDIA,yum-packaging-libnvidia-nscq,,15,1,4,public,4,1
370,NVIDIA,yum-packaging-nvidia-driver,Shell,516,7,4,public,4,7
371,NVIDIA,yum-packaging-nvidia-kmod-common,Shell,66,3,5,public,5,3
372,NVIDIA,yum-packaging-nvidia-modprobe,Shell,62,3,3,public,3,3
373,NVIDIA,yum-packaging-nvidia-persistenced,Shell,75,2,3,public,3,2
374,NVIDIA,yum-packaging-nvidia-plugin,Python,34,10,5,public,5,10
375,NVIDIA,yum-packaging-nvidia-settings,Shell,126,3,3,public,3,3
376,NVIDIA,yum-packaging-nvidia-xconfig,Shell,63,3,3,public,3,3
377,NVIDIA,yum-packaging-precompiled-kmod,Shell,65,31,13,public,13,31
378,NVIDIA,zypper-packaging-nvidia-driver,Shell,858,2,7,public,7,2
