,owner,repository_name,language,size,watchers_count,forks_count,visibility,forks,watchers
150,nasa,ESPRESSO,,0,5,4,public,4,5
151,nasa,europa,C++,38043,207,72,public,72,207
152,nasa,exoplnt-dl,,0,2,0,public,0,2
153,nasa,exoscene,Jupyter Notebook,29638,6,1,public,1,6
154,nasa,fe3,,457,3,0,public,0,3
155,nasa,feature_selection_tool,Python,18,1,0,public,0,1
156,nasa,FEI,Java,11112,4,5,public,5,4
157,nasa,Field-Data-Collector,,0,3,0,public,0,3
158,nasa,FM,C,19350,38,26,public,26,38
159,nasa,fmdtools,Python,223565,16,5,public,5,16
160,nasa,fprime,C++,330784,9532,1230,public,1230,9532
161,nasa,FPRoCK,Python,144,12,6,public,6,12
162,nasa,fs_lib,,0,3,0,public,0,3
163,nasa,GEDI-Data-Resources,Jupyter Notebook,24495,9,7,public,7,9
164,nasa,GeneLab-sampleProcessing,,154715,10,9,public,9,10
165,nasa,GeneLab-Training,HTML,138205,21,5,public,5,21
166,nasa,GeneLab_Data_Processing,Jupyter Notebook,189364,44,31,public,31,44
167,nasa,gen_msgids,C,97,6,2,public,2,6
168,nasa,gen_sch_tbl,C,100,7,3,public,3,7
169,nasa,geolambda,Python,44,4,4,public,4,4
170,nasa,georef,Python,48406,7,3,public,3,7
171,nasa,georef_deploy,Ruby,620,2,5,public,5,2
172,nasa,georef_geocamtiepoint,Python,6147,4,8,public,8,4
173,nasa,georef_geocamutilweb,Python,1634,3,7,public,7,3
174,nasa,georef_imageregistration,Python,229,16,11,public,11,16
175,nasa,gesdisc-cloud-tutorials,Jupyter Notebook,10785,9,42,public,42,9
176,nasa,gesdisc-meditor,TypeScript,45572,7,1,public,1,7
177,nasa,gesdisc-tutorials,Jupyter Notebook,6601,13,6,public,6,13
178,nasa,GFR,Fortran,6038,53,41,public,41,53
179,nasa,gFTL,Fortran,137,27,10,public,10,27
180,nasa,GHRC-FieldCampaign-eXplorer-core,Python,2207,1,0,public,0,1
181,nasa,GHRC-FieldCampaign-eXplorer-UI,JavaScript,12939,1,1,public,1,1
182,nasa,giant,Python,16446,20,7,public,7,20
183,nasa,Giovanni,Perl,254396,4,6,public,6,4
184,nasa,github-latest-commits-widget,JavaScript,129,13,19,public,19,13
185,nasa,GlennOPT,Python,28831,15,8,public,8,15
186,nasa,glm_ql,Python,19,3,5,public,5,3
187,nasa,GMSEC_API,C++,8197,15,3,public,3,15
188,nasa,GPU_SDR,HTML,29834,12,8,public,8,12
189,nasa,grc-atf-kms-tools,Python,2,2,0,public,0,2
190,nasa,grc-atf-meza-config,,0,2,0,public,0,2
191,nasa,GRC-LunarSiteAvailabilitySoftware-Data,,0,2,0,public,0,2
192,nasa,GSAP,C++,14843,19,6,public,6,19
193,nasa,GTM_DesignSim,MATLAB,2859,56,41,public,41,56
194,nasa,gunns,C++,7341,31,9,public,9,31
195,nasa,harmony,TypeScript,34579,57,38,public,38,57
196,nasa,harmony-dttb,,0,1,0,public,0,1
197,nasa,harmony-gdal-adapter,Python,293808,4,4,public,4,4
198,nasa,harmony-maskfill,,0,1,0,public,0,1
199,nasa,harmony-netcdf-to-zarr,Python,544,13,11,public,11,13
200,nasa,harmony-opendap-subsetter,,0,2,0,public,0,2
201,nasa,harmony-py,Python,2035,40,16,public,16,40
202,nasa,harmony-qgis,Python,2043,3,0,public,0,3
203,nasa,harmony-regression-tests,Jupyter Notebook,335015,4,3,public,3,4
204,nasa,harmony-service-example,Python,89,5,5,public,5,5
205,nasa,harmony-service-lib-py,Python,335,9,5,public,5,9
206,nasa,harmony-swath-projector,,0,1,0,public,0,1
207,nasa,harmony-trajectory-subsetter,,0,1,0,public,0,1
208,nasa,HDTN,C++,21331,45,18,public,18,45
209,nasa,HDTN-BPCodec,C++,28,8,4,public,4,8
210,nasa,HECC-Data,,0,2,0,public,0,2
211,nasa,HK,C,10209,30,29,public,29,30
212,nasa,HLS-Data-Resources,Jupyter Notebook,13032,7,4,public,4,7
213,nasa,HS,C,14228,32,24,public,24,32
214,nasa,hybridq,Python,7025,49,14,public,14,49
215,nasa,HyperCP,Python,160786,24,16,public,16,24
216,nasa,icarous,C,130838,147,72,public,72,147
217,nasa,icc,MATLAB,23560,5,1,public,1,5
218,nasa,idas-test,,0,1,0,public,0,1
219,nasa,IDEAS,,303,4,0,public,0,4
220,nasa,IDF,C++,44407,78,41,public,41,78
221,nasa,instructions,HTML,12097,315,61,public,61,315
222,nasa,ipv6_python,Python,36,47,32,public,32,47
223,nasa,irg_open,C++,1817,7,4,public,4,7
224,nasa,isaac,C++,51053,31,18,public,18,31
225,nasa,isaac_msgs,CMake,6446,6,4,public,4,6
226,nasa,isaac_user_interface,JavaScript,65826,12,8,public,8,12
227,nasa,isce3-test,,0,1,0,public,0,1
228,nasa,isle,JavaScript,1065,213,49,public,49,213
229,nasa,ISS_Camera_Geolocate,Jupyter Notebook,3999,27,22,public,22,27
230,nasa,jeod,C++,1019271,16,0,public,0,16
231,nasa,JHU-PIV-data,HTML,214378,6,1,public,1,6
232,nasa,K2CE,Python,4613,7,6,public,6,7
233,nasa,Kamodo,Jupyter Notebook,209008,44,24,public,24,44
234,nasa,Kamodo-core,Python,10507,2,0,public,0,2
235,nasa,Kepler-FLTI,Python,46068,7,9,public,9,7
236,nasa,kepler-pipeline,C,171527,85,23,public,23,85
237,nasa,Kepler-PyKE,Python,184,4,4,public,4,4
238,nasa,kepler-robovetter,C++,148454,30,11,public,11,30
239,nasa,KeplerPORTs,Python,2193,18,12,public,12,18
240,nasa,knife,C,728,14,9,public,9,14
241,nasa,Kodiak,C++,12837,103,37,public,37,103
242,nasa,koviz,C++,9559,13,9,public,9,13
243,nasa,lager,C++,299,7,3,public,3,7
244,nasa,LC,C,28612,24,24,public,24,24
245,nasa,legacy-mars-global-climate-model,Jupyter Notebook,28092,26,10,public,10,26
246,nasa,LH2Sim,Matlab,655,15,11,public,11,15
247,nasa,LHASA,Python,46916,30,15,public,15,30
248,nasa,Li-ion-Battery-Prognosis-Based-on-Hybrid-Bayesian-PINN,Python,82,8,1,public,1,8
249,nasa,libSPRITE,C++,6873,57,30,public,30,57
250,nasa,Lightkurve,Python,91015,11,2,public,2,11
251,nasa,Loupe,Python,2883,2,0,public,0,2
252,nasa,Low-Surface-Brightness-Extragalactic-Science,,0,1,0,public,0,1
253,nasa,LPDAAC-Data-Resources,Jupyter Notebook,24323,10,2,public,2,10
254,nasa,LSDAO,Makefile,1500,1,2,public,2,1
255,nasa,maestro,,0,2,0,public,0,2
256,nasa,MAV,Limbo,6638,11,11,public,11,11
257,nasa,MCMCPy,OpenEdge ABL,323,12,6,public,6,12
258,nasa,MCT-Plugins,Java,10559,35,29,public,29,35
259,nasa,MD,C,13400,19,22,public,22,19
260,nasa,MDE-SDK,,0,2,0,public,0,2
261,nasa,meshNetwork,C++,4796,131,38,public,38,131
262,nasa,meza,JavaScript,11171,12,5,public,5,12
263,nasa,MFISPy,Python,99,6,0,public,0,6
264,nasa,mika,,11030,1,1,public,1,1
265,nasa,MiniWall,JavaScript,349011,15,4,public,4,15
266,nasa,MINX,Prolog,123322,12,10,public,10,12
267,nasa,MISR-Toolkit,C,50113,21,18,public,18,21
268,nasa,MISR-View,IDL,13567,8,4,public,4,8
269,nasa,mission-viz,HTML,5762,7,1,public,1,7
270,nasa,Mixed-Reality-Exploration-Toolkit,C#,587044,28,14,public,14,28
271,nasa,ML-airport-arrival-runway,Python,3745,7,0,public,0,7
272,nasa,ML-airport-configuration,Python,10103,17,4,public,4,17
273,nasa,ML-airport-data-services,Python,10180,3,2,public,2,3
274,nasa,ML-airport-departure-runway,Python,10135,5,2,public,2,5
275,nasa,ML-airport-estimated-ON,Python,25056,4,0,public,0,4
